seed,chain_length,model,accuracy,loss,mean_inference_latency_ms_per_example
0,5,gru,0.056640625,3.171917676925659,0.2722574218747553
0,5,linear,0.03515625,3.1766397953033447,0.563684960937616
0,5,hybrid,0.0703125,3.166090250015259,1.0205779296873496
0,5,fixed_half_hybrid,0.060546875,3.178708791732788,0.8991732421876897
0,5,forced_gru_hybrid,0.060546875,3.1749696731567383,0.967819140625048
0,5,forced_linear_hybrid,0.037109375,3.1751503944396973,0.9695585937500306
0,5,random_fusion_hybrid,0.041015625,3.17781662940979,0.9685789062500172
0,5,scalar_fusion_hybrid,0.056640625,3.173349618911743,1.0111101562499947
0,5,param_matched_gru,0.046875,3.1738665103912354,0.26143710937498454
0,5,dual_state_hybrid,0.033203125,3.1771013736724854,0.8034548828126375
0,5,smoothed_gru,0.044921875,3.175554037094116,0.6250261718750982
0,5,probability_ensemble,0.041015625,3.171632766723633,0.8359423828123713
0,5,logit_ensemble,0.041015625,3.1717658042907715,0.8359423828123713
0,5,last_destination,0.03515625,3.2120468616485596,0.0
0,5,first_destination,0.046875,3.2003281116485596,0.0
0,5,most_recent_entity,0.0,3.2472035884857178,0.0
0,5,most_frequent_entity,0.0,3.2472035884857178,0.0
0,5,random_class,0.03125,3.2159531116485596,0.0
0,6,gru,0.05078125,3.1731956005096436,0.2663296875001775
0,6,linear,0.052734375,3.1706552505493164,0.5030273437500732
0,6,hybrid,0.064453125,3.1725780963897705,1.0118447265624608
0,6,fixed_half_hybrid,0.048828125,3.1781959533691406,0.876333593750056
0,6,forced_gru_hybrid,0.03125,3.1791982650756836,0.8939716796875219
0,6,forced_linear_hybrid,0.037109375,3.1826837062835693,0.8438091796876268
0,6,random_fusion_hybrid,0.056640625,3.171832323074341,0.9400386718750875
0,6,scalar_fusion_hybrid,0.05078125,3.1696364879608154,1.1044773437502986
0,6,param_matched_gru,0.044921875,3.1729447841644287,0.30626601562488975
0,6,dual_state_hybrid,0.04296875,3.1803553104400635,0.7383128906248704
0,6,smoothed_gru,0.05078125,3.174240827560425,0.5614394531250344
0,6,probability_ensemble,0.0546875,3.1695494651794434,0.7693570312502507
0,6,logit_ensemble,0.056640625,3.169461965560913,0.7693570312502507
0,6,last_destination,0.05078125,3.1964218616485596,0.0
0,6,first_destination,0.041015625,3.2061874866485596,0.0
0,6,most_recent_entity,0.0,3.2472035884857178,0.0
0,6,most_frequent_entity,0.0,3.2472035884857178,0.0
0,6,random_class,0.037109375,3.2100937366485596,0.0
0,8,gru,0.060546875,3.1760671138763428,0.33113691406261303
0,8,linear,0.0390625,3.1777422428131104,0.6553542968751325
0,8,hybrid,0.0390625,3.183090925216675,1.2274638671876392
0,8,fixed_half_hybrid,0.044921875,3.1740026473999023,0.987964257812668
0,8,forced_gru_hybrid,0.02734375,3.179692506790161,0.9825347656251537
0,8,forced_linear_hybrid,0.0390625,3.174396276473999,0.988182421875039
0,8,random_fusion_hybrid,0.046875,3.175598621368408,1.037603710937418
0,8,scalar_fusion_hybrid,0.029296875,3.1890671253204346,1.089702734375031
0,8,param_matched_gru,0.046875,3.1722211837768555,0.3065664062498197
0,8,dual_state_hybrid,0.041015625,3.1745197772979736,0.8655517578125549
0,8,smoothed_gru,0.03515625,3.177452325820923,0.7300822265624562
0,8,probability_ensemble,0.0390625,3.174363136291504,0.9864912109377455
0,8,logit_ensemble,0.0390625,3.174407482147217,0.9864912109377455
0,8,last_destination,0.052734375,3.1944687366485596,0.0
0,8,first_destination,0.041015625,3.2061877250671387,0.0
0,8,most_recent_entity,0.0,3.2472035884857178,0.0
0,8,most_frequent_entity,0.0,3.2472035884857178,0.0
0,8,random_class,0.046875,3.2003283500671387,0.0
0,10,gru,0.01953125,3.1923182010650635,0.30124960937505385
0,10,linear,0.044921875,3.183581590652466,0.5761871093749038
0,10,hybrid,0.0390625,3.1785242557525635,1.053981835937523
0,10,fixed_half_hybrid,0.06640625,3.1756434440612793,0.8473662109376168
0,10,forced_gru_hybrid,0.029296875,3.186490297317505,0.8857880859373113
0,10,forced_linear_hybrid,0.044921875,3.17555832862854,1.0325837890624578
0,10,random_fusion_hybrid,0.044921875,3.1770031452178955,0.9719691406251396
0,10,scalar_fusion_hybrid,0.044921875,3.18394136428833,1.1734683593752626
0,10,param_matched_gru,0.03125,3.18768310546875,0.2996291015624486
0,10,dual_state_hybrid,0.037109375,3.182889223098755,0.8296996093749565
0,10,smoothed_gru,0.05078125,3.1736605167388916,0.6311335937502216
0,10,probability_ensemble,0.025390625,3.1854636669158936,0.8774367187499577
0,10,logit_ensemble,0.0234375,3.1854734420776367,0.8774367187499577
0,10,last_destination,0.060546875,3.1866562366485596,0.0
0,10,first_destination,0.025390625,3.2218124866485596,0.0
0,10,most_recent_entity,0.0,3.2472035884857178,0.0
0,10,most_frequent_entity,0.0,3.2472035884857178,0.0
0,10,random_class,0.01953125,3.2276721000671387,0.0
